Timestamp_ms,Filtered_Value_V,State
1745864523819,0.101,rest
1745864523924,0.204,rest
1745864524029,0.304,rest
1745864524134,0.418,rest
1745864524239,0.535,rest
1745864524340,0.525,rest
1745864524445,0.538,rest
1745864524549,0.547,rest
1745864524652,0.518,rest
1745864524757,0.499,rest
1745864524862,0.495,rest
1745864524967,0.490,rest
1745864525072,0.496,rest
1745864525177,0.524,rest
1745864525281,0.510,rest
1745864525386,0.527,rest
1745864525492,0.527,rest
1745864525595,0.516,rest
1745864525701,0.511,rest
1745864525806,0.514,rest
1745864525911,0.528,rest
1745864526015,0.503,rest
1745864526120,0.488,rest
1745864526225,0.476,rest
1745864526331,0.503,rest
