timestamp,emg_voltage,muscle_state
0.01,0.02,rest
0.51,0.0,rest
1.01,0.0,rest
1.52,0.0,rest
2.02,0.0,rest
2.53,0.0,rest
3.03,0.0,rest
3.53,0.01,rest
4.04,0.0,rest
4.54,0.0,rest
5.05,0.0,rest
5.55,0.0,rest
6.06,0.0,rest
6.56,0.0,rest
7.07,0.0,rest
7.57,0.0,rest
8.07,0.0,rest
8.58,0.0,rest
9.08,0.0,rest
9.59,0.0,rest
10.09,0.0,rest
10.59,0.0,rest
11.1,0.0,rest
11.6,0.0,rest
12.11,0.0,rest
12.61,0.0,rest
13.12,0.0,rest
13.62,0.0,rest
14.13,0.0,rest
14.63,0.0,rest
15.14,0.0,rest
15.64,0.0,rest
16.15,0.0,rest
16.65,0.0,rest
17.16,0.0,rest
17.66,0.0,rest
18.16,0.0,rest
18.67,0.0,rest
19.17,0.0,rest
19.68,0.0,rest
