Timestamp_ms,Filtered_Value_V,State
1745880486455,0.088,rest
1745880486558,0.176,rest
1745880486663,0.294,rest
1745880486765,0.396,rest
1745880486870,0.501,rest
1745880486973,0.503,rest
1745880487077,0.510,rest
1745880487180,0.482,rest
1745880487283,0.486,rest
1745880487385,0.468,rest
1745880487491,0.486,rest
1745880487595,0.493,rest
1745880487696,0.517,rest
1745880487800,0.502,rest
1745880487905,0.534,rest
1745880488010,0.536,rest
1745880488115,0.524,rest
1745880488220,0.503,rest
1745880488321,0.681,rest
1745880488422,0.869,contracting
1745880488528,1.149,contracting
1745880488629,1.558,contracting
1745880488732,1.751,contracting
1745880488833,1.908,contracting
1745880488935,2.047,contracting
1745880489040,1.933,contracting
1745880489145,1.876,contracting
1745880489250,2.077,contracting
1745880489353,2.020,contracting
1745880489455,1.902,contracting
1745880489556,1.895,contracting
1745880489657,1.855,contracting
1745880489761,1.797,contracting
1745880489866,1.513,contracting
1745880489971,1.286,contracting
1745880490073,1.103,contracting
1745880490178,0.783,rest
1745880490282,0.457,rest
1745880490386,0.478,rest
1745880490486,0.477,rest
1745880490591,0.485,rest
1745880490696,0.511,rest
1745880490801,0.523,rest
1745880490902,0.497,rest
1745880491007,0.496,rest
1745880491111,0.503,rest
1745880491216,0.485,rest
1745880491318,0.487,rest
1745880491423,0.519,rest
1745880491529,0.537,rest
1745880491632,0.547,rest
1745880491732,0.561,rest
1745880491838,0.543,rest
1745880491943,0.522,rest
1745880492046,0.506,rest
1745880492151,0.489,rest
1745880492253,0.494,rest
1745880492353,0.486,rest
1745880492459,0.742,rest
1745880492562,1.139,contracting
