timestamp,raw_value,emg_voltage,filtered_value,muscle_state
0.0,237,0.19,24.08,rest
0.01,235,0.19,10.15,rest
0.02,231,0.19,0.19,rest
0.03,240,0.19,0.19,rest
0.04,246,0.2,0.19,rest
0.05,254,0.2,0.2,active
0.06,263,0.21,0.21,active
0.07,268,0.22,0.21,active
0.08,286,0.23,0.22,active
0.09,295,0.24,0.23,active
0.1,312,0.25,0.24,active
0.11,319,0.26,0.25,active
0.12,328,0.26,0.26,active
0.13,344,0.28,0.27,active
0.14,352,0.28,0.28,active
0.15,368,0.3,0.29,active
0.16,370,0.3,0.29,active
0.17,376,0.3,0.3,active
0.18,387,0.31,0.31,active
0.19,388,0.31,0.31,active
0.2,397,0.32,0.32,active
0.21,402,0.32,0.32,active
0.22,407,0.33,0.32,active
0.23,416,0.34,0.33,active
0.24,420,0.34,0.34,active
0.25,427,0.34,0.34,active
0.26,429,0.35,0.34,active
0.27,431,0.35,0.35,active
0.28,440,0.35,0.35,active
0.29,437,0.35,0.35,active
0.3,442,0.36,0.35,active
0.31,439,0.35,0.35,active
0.32,440,0.35,0.35,active
0.33,452,0.36,0.36,active
0.34,450,0.36,0.36,active
0.35,450,0.36,0.36,active
0.36,447,0.36,0.36,active
0.37,439,0.35,0.36,active
0.38,433,0.35,0.35,active
0.39,413,0.33,0.34,active
0.4,413,0.33,0.34,active
0.41,405,0.33,0.33,active
0.42,376,0.3,0.32,active
0.43,368,0.3,0.31,active
0.44,346,0.28,0.29,active
0.45,346,0.28,0.28,active
0.46,342,0.28,0.28,active
0.47,339,0.27,0.28,active
0.48,338,0.27,0.27,active
0.49,339,0.27,0.27,active
0.5,324,0.26,0.27,active
0.51,323,0.26,0.26,active
0.52,309,0.25,0.26,active
0.53,327,0.26,0.26,active
0.54,316,0.25,0.26,active
0.55,328,0.26,0.26,active
0.56,341,0.27,0.27,active
0.57,339,0.27,0.27,active
0.58,335,0.27,0.27,active
0.59,332,0.27,0.27,active
0.6,317,0.26,0.26,active
0.61,340,0.27,0.27,active
0.62,408,0.33,0.29,active
0.63,461,0.37,0.33,active
0.64,515,0.42,0.38,active
0.65,544,0.44,0.42,active
0.66,583,0.47,0.45,active
0.67,680,0.55,0.49,active
0.68,758,0.61,0.56,active
0.69,840,0.68,0.62,active
0.7,948,0.76,0.7,active
0.71,973,0.78,0.75,active
0.72,971,0.78,0.78,active
0.73,972,0.78,0.78,active
0.74,972,0.78,0.78,active
0.75,969,0.78,0.78,active
0.76,972,0.78,0.78,active
0.77,974,0.78,0.78,active
0.78,974,0.78,0.78,active
0.79,972,0.78,0.78,active
0.8,970,0.78,0.78,active
0.81,971,0.78,0.78,active
0.82,974,0.78,0.78,active
0.83,974,0.78,0.78,active
0.84,974,0.78,0.78,active
0.85,971,0.78,0.78,active
0.86,972,0.78,0.78,active
0.87,973,0.78,0.78,active
0.88,971,0.78,0.78,active
0.89,972,0.78,0.78,active
0.9,970,0.78,0.78,active
0.91,973,0.78,0.78,active
0.92,973,0.78,0.78,active
0.93,971,0.78,0.78,active
0.94,973,0.78,0.78,active
0.95,974,0.78,0.78,active
0.96,974,0.78,0.78,active
0.97,973,0.78,0.78,active
0.98,973,0.78,0.78,active
0.99,974,0.78,0.78,active
1.0,977,0.79,0.79,active
1.01,974,0.78,0.79,active
